source,title,description
speedweek.com,Jerez-GP bei ServusTV: Die Favoriten von Bradl - SPEEDWEEK.COM,ServusTV überträgt die MotoGP aus Jerez am Samstag und Sonntag live. Experte Stefan Bradl legt das Mikro zu Seite und gibt als Wildcard-Fahrer in den HRC-Farben Gas. Zuvor teilt er aber noch seine Einschätzung.
watson.ch,NFL: Jaguars wählen Trevor Lawrence – 49ers sorgen für Überraschung - watson,"Die Jacksonville Jaguars haben wie erwartet ihren Nummer-1-Pick des NFL Draft 2021 genutzt, um Quarterback Trevor Lawrence von den Clemson Tigers auszuwählen. …"
www.nau.ch,Ronaldo: Ex-Model fordert nach Vergewaltigungsvorwurf 70 Millionen - Nau.ch,Das Ex-Model Kathryn Mayorga fordert von Juve-Superstar Ronaldo 70 Millionen Franken Schadenersatz. 2009 soll sie der Portugiese vergewaltigt haben.
www.srf.ch,1:2-Niederlage im Hinspiel – Arsenal hält Final-Hoffnungen am Leben - Schweizer Radio und Fernsehen (SRF),Arsenal unterliegt im Hinspiel des Europa-League-Halbfinals Villarreal auswärts 1:2.
www.srf.ch,8-Tore-Spektakel in Manchester – United steht mit einem Bein im Europa-League-Endspiel - Schweizer Radio und Fernsehen (SRF),Manchester United besiegt die AS Roma im Halbfinal-Hinspiel der Europa League zuhause gleich mit 6:2.
speedweek.com,Valentino Rossi scherzt: «Als Boss habe ich ein Bike» - SPEEDWEEK.COM,"Das VR46-Team kommt 2022 in die MotoGP-Klasse. Ob Valentino Rossi dann noch als Fahrer an den Start gehen wird, hänge von seinen Ergebnissen ab, wie der Yamaha-Superstar in Jerez einmal mehr beteuerte."
watson.ch,NL: Lugano holt Chris McSorley als Trainer mit Vertrag für drei Jahre - watson,Nun rockt es im Tessin. Lugano wird im Laufe der nächsten Woche seine spektakulärste Traineranstellung seit 1983 (John Slettvoll) verkünden: Chris McSorley kommt für drei Jahre.
blick.ch,St. Gallens Youan hat Corona – YB-Elia am Knie verletzt - BLICK,Thody Élie Youan (22) vom FC St. Gallen sowie die YB-Meisterspieler Meschack Elia (23) und Nico Maier (20) müssen pausieren.
www.srf.ch,2. Etappe der Tour de Romandie – Colbrelli gewinnt in Saint-Imier – Hirschi sprintet auf Rang 3 - Schweizer Radio und Fernsehen (SRF),Marc Hirschi wird an der 2. Etappe der Tour de Romandie Dritter. Den Tagessieg sichert sich Sonny Colbrelli (ITA).
blick.ch,Davis Cup: Tennis-Star Alexander Zverev wettert gegen Gerard Piqué - BLICK,Tennis-Star Alexander Zverev geht im Rahmen des ATP-Turniers von München auf Fussball-Ikone und Davis-Cup-Investor Gerard Piqué los.
bluewin.ch,Der EHC Kloten wird zum HSV des Schweizer Eishockeys - bluewin.ch,Trotz der erleichterten Aufstiegsbedingungen in Corona-Zeiten hat der EHC Kloten den Aufstieg erneut in den Sand gesetzt. Es nimmt allmählich tragische Formen an. Eine Analyse.
www.srf.ch,Coup gegen Weltnummer 5 – Teichmann wehrt 6 Matchbälle ab und feiert grossen Sieg - Schweizer Radio und Fernsehen (SRF),Jil Teichmann ringt in Madrid Jelina Switolina in 3 Sätzen nieder. Eine bessere Spielerin hat sie noch nie geschlagen.
blick.ch,Hockey-Star Petr Vrana weint um seine ertrunkene Frau Lindsey - BLICK,Soeben ist Trinec zum dritten Mal tschechischer Meister geworden. Captain Petr Vrana (36) wird von seinen Emotionen übermannt. Nicht nur aus Freude – sondern weil er kurz vor den Playoffs seine Frau Lindsey (†35) bei einem tragischen Unfall verloren hat.
blick,"Europa League: ManUnited demontiert AS Roma, Arsenal verliert in Villarreal","Da war einiges los in den Halbfinal-Hinspielen der Europa League. Manchester United macht gegen die AS Roma in der zweiten Halbzeit fünf Tore, Arsenal ist mit einer 1:2-Niederlage in Villarreal gut bedient."
auto motor und sport,F1-Teamcheck GP Portugal: Hamilton-Zukunft fix,Wir haben vor dem GP Portugal alle zehn Teams auf Neuigkeiten abgecheckt. Vor allem Lewis Hamilton traf einige interessante Aussagen zu seiner Zukunft.
